id,process_id,offspring_size,genotype_table,fitness_table,ea_optimizer_id,generation_index,individual_index,individual_id,ea_optimizer_id_1,individual_id_1,genotype_id,fitness_id,id_1,value
1,0,100,genotype,float,1,0,0,0,1,0,1,1,1,0.11422549592713285
1,0,100,genotype,float,1,0,1,1,1,1,2,2,2,0.08634828966664684
1,0,100,genotype,float,1,0,2,2,1,2,3,3,3,0.08883377223546522
1,0,100,genotype,float,1,0,3,3,1,3,4,4,4,0.10704541011064306
1,0,100,genotype,float,1,0,4,4,1,4,5,5,5,0.015316773737141156
1,0,100,genotype,float,1,0,5,5,1,5,6,6,6,0.053190082169257774
1,0,100,genotype,float,1,0,6,6,1,6,7,7,7,0.030838700937712044
1,0,100,genotype,float,1,0,7,7,1,7,8,8,8,0.34274343253375333
1,0,100,genotype,float,1,0,8,8,1,8,9,9,9,0.09703293691969078
1,0,100,genotype,float,1,0,9,9,1,9,10,10,10,0.4179803260253155
1,0,100,genotype,float,1,0,10,10,1,10,11,11,11,0.0647026981618182
1,0,100,genotype,float,1,0,11,11,1,11,12,12,12,0.19698974927116103
1,0,100,genotype,float,1,0,12,12,1,12,13,13,13,0.17624620591906887
1,0,100,genotype,float,1,0,13,13,1,13,14,14,14,0.23685966199743633
1,0,100,genotype,float,1,0,14,14,1,14,15,15,15,0.15657753519418027
1,0,100,genotype,float,1,0,15,15,1,15,16,16,16,0.09212545619521086
1,0,100,genotype,float,1,0,16,16,1,16,17,17,17,0.09819101437502967
1,0,100,genotype,float,1,0,17,17,1,17,18,18,18,0.01087059396829563
1,0,100,genotype,float,1,0,18,18,1,18,19,19,19,0.2262392920223758
1,0,100,genotype,float,1,0,19,19,1,19,20,20,20,0.05511103368393396
1,0,100,genotype,float,1,0,20,20,1,20,21,21,21,0.07733663624029191
1,0,100,genotype,float,1,0,21,21,1,21,22,22,22,0.03264929955624008
1,0,100,genotype,float,1,0,22,22,1,22,23,23,23,0.08411002464970425
1,0,100,genotype,float,1,0,23,23,1,23,24,24,24,0.060505632736055755
1,0,100,genotype,float,1,0,24,24,1,24,25,25,25,0.05120309880609806
1,0,100,genotype,float,1,0,25,25,1,25,26,26,26,0.03237193278950496
1,0,100,genotype,float,1,0,26,26,1,26,27,27,27,0.14077053747196613
1,0,100,genotype,float,1,0,27,27,1,27,28,28,28,0.1916752132885688
1,0,100,genotype,float,1,0,28,28,1,28,29,29,29,0.2714633106814866
1,0,100,genotype,float,1,0,29,29,1,29,30,30,30,0.045916609279576935
1,0,100,genotype,float,1,0,30,30,1,30,31,31,31,0.06409354902486065
1,0,100,genotype,float,1,0,31,31,1,31,32,32,32,0.018373812855152737
1,0,100,genotype,float,1,0,32,32,1,32,33,33,33,0.04109402945222304
1,0,100,genotype,float,1,0,33,33,1,33,34,34,34,0.11629335835797147
1,0,100,genotype,float,1,0,34,34,1,34,35,35,35,0.17552269268574083
1,0,100,genotype,float,1,0,35,35,1,35,36,36,36,0.05447907999030153
1,0,100,genotype,float,1,0,36,36,1,36,37,37,37,0.015996895189446445
1,0,100,genotype,float,1,0,37,37,1,37,38,38,38,0.04815175711751122
1,0,100,genotype,float,1,0,38,38,1,38,39,39,39,0.12985084849697465
1,0,100,genotype,float,1,0,39,39,1,39,40,40,40,0.07132485525116455
1,0,100,genotype,float,1,0,40,40,1,40,41,41,41,0.013884904342895351
1,0,100,genotype,float,1,0,41,41,1,41,42,42,42,0.07812258790859974
1,0,100,genotype,float,1,0,42,42,1,42,43,43,43,0.3814221364813252
1,0,100,genotype,float,1,0,43,43,1,43,44,44,44,0.1470925437868441
1,0,100,genotype,float,1,0,44,44,1,44,45,45,45,0.06232964851884415
1,0,100,genotype,float,1,0,45,45,1,45,46,46,46,0.09933835873985782
1,0,100,genotype,float,1,0,46,46,1,46,47,47,47,0.10579036938545991
1,0,100,genotype,float,1,0,47,47,1,47,48,48,48,0.031054326248122533
